cntry_code,cntry_name,market_value_residence_2003,market_value_nationality_2003,mv_difference_nat_vs_res_2003,market_value_residence_2004,market_value_nationality_2004,mv_difference_nat_vs_res_2004,market_value_residence_2005,market_value_nationality_2005,mv_difference_nat_vs_res_2005,market_value_residence_2006,market_value_nationality_2006,mv_difference_nat_vs_res_2006,market_value_residence_2007,market_value_nationality_2007,mv_difference_nat_vs_res_2007,market_value_residence_2008,market_value_nationality_2008,mv_difference_nat_vs_res_2008,market_value_residence_2009,market_value_nationality_2009,mv_difference_nat_vs_res_2009,market_value_residence_2010,market_value_nationality_2010,mv_difference_nat_vs_res_2010,market_value_residence_2011,market_value_nationality_2011,mv_difference_nat_vs_res_2011,market_value_residence_2012,market_value_nationality_2012,mv_difference_nat_vs_res_2012,market_value_residence_2013,market_value_nationality_2013,mv_difference_nat_vs_res_2013,market_value_residence_2014,market_value_nationality_2014,mv_difference_nat_vs_res_2014,market_value_residence_2015,market_value_nationality_2015,mv_difference_nat_vs_res_2015,market_value_residence_2016,market_value_nationality_2016,mv_difference_nat_vs_res_2016,market_value_residence_2017,market_value_nationality_2017,mv_difference_nat_vs_res_2017,market_value_residence_2018,market_value_nationality_2018,mv_difference_nat_vs_res_2018,market_value_residence_2019,market_value_nationality_2019,mv_difference_nat_vs_res_2019,market_value_residence_2020,market_value_nationality_2020,mv_difference_nat_vs_res_2020
11002,GERMANY,52739,52739,0,45689,45689,0,28459,28459,0,33963,33963,0,57175,57205,31,48233,48247,14,44676,44797,121,41322,41357,36,45875,45979,104,43780,43882,101,32655,32777,122,49681,49754,72,42434,42434,0,29042,29189,147,33393,33420,27,31303,31016,-288,30943,30667,-276,39986,39500,-486
11088,GIBRALTAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11207,GREECE,1728,1728,0,1115,1115,0,886,886,0,1340,1340,0,1573,1573,0,765,765,0,1712,1712,0,881,881,0,730,730,0,791,808,17,1671,1671,0,1900,1900,0,2074,2074,0,1543,1543,0,1615,1615,0,3008,3008,0,3517,3517,0,4254,4254,0
11304,ICELAND,110,110,0,214,214,0,369,369,0,143,143,0,176,176,0,762,762,0,359,359,0,407,407,0,667,667,0,1416,1416,0,1316,1316,0,1325,1325,0,1112,1112,0,922,922,0,520,520,0,526,526,0,293,293,0,305,301,-4
11401,IRELAND,701,701,0,839,839,0,2155,2155,0,616,616,0,495,495,0,379,396,17,990,1027,37,2019,2031,12,5434,5486,52,11328,11136,-192,12226,11969,-257,7021,7018,-3,2970,2970,0,2285,2285,0,2654,2653,-1,2796,2807,11,2312,2106,-206,2178,1996,-182
11509,ITALY,17625,17625,0,12804,12804,0,9150,9150,0,8780,8780,0,18155,18155,0,9689,9689,0,12236,12236,0,10610,10610,0,15478,15486,8,48002,48002,0,29569,29569,0,31114,31114,0,20915,20915,0,16404,16404,0,23765,23765,0,19563,19325,-238,23180,22187,-993,28282,28040,-242
11606,LIECHTENSTEIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11703,LUXEMBOURG,41,27,-14,32,32,0,51,46,-5,21,21,0,19,19,0,77,27,-49,149,21,-128,128,9,-119,546,546,0,29,29,0,464,341,-123,77,80,3,26,26,0,82,47,-35,100,100,0,164,115,-49,1090,346,-744,1222,447,-775
11819,MALTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12009,MONACO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12106,NETHERLANDS,9065,9060,-5,5088,5088,0,3345,3345,0,4603,4603,0,4388,4357,-31,3648,3617,-31,4970,4919,-51,3125,3074,-51,4079,4011,-68,7434,7303,-131,7470,7404,-66,5832,5832,0,5664,5664,0,8586,7680,-905,10662,10599,-64,10343,10308,-36,9415,9345,-70,11706,11602,-104
12203,NORWAY,1176,1176,0,1494,1494,0,1411,1411,0,2098,2098,0,2663,2663,0,3004,3004,0,5895,5895,0,7324,7324,0,7171,7171,0,6530,6530,0,4660,4660,0,3960,3960,0,3980,3980,0,3376,3376,0,2856,2856,0,2372,2372,0,3653,3649,-4,3651,3633,-18
12319,PORTUGAL,1006,1006,0,537,537,0,241,241,0,246,246,0,608,608,0,68,68,0,326,326,0,349,349,0,370,370,0,1640,1640,0,2986,2986,0,5478,5481,3,4422,4422,0,2513,2513,0,4644,4644,0,3418,3418,0,3150,3150,0,2945,2931,-14
12408,SAN MARINO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12505,SPAIN,5284,5284,0,3829,3829,0,3134,3134,0,2958,2958,0,2640,2640,0,1431,1431,0,1941,1941,0,1585,1585,0,3525,3521,-4,15527,15547,21,20665,20701,37,22731,22731,0,11177,11177,0,9122,9122,0,13879,13879,0,10731,10731,0,22058,22053,-6,20132,20033,-99
12602,SWEDEN,5319,5319,0,5526,5526,0,4683,4683,0,6118,6118,0,7312,7312,0,5363,5363,0,7823,7823,0,6026,6026,0,6769,6769,0,7282,7282,0,9796,9796,0,5992,5992,0,3463,3463,0,4086,4086,0,7574,7574,0,4061,4060,-2,3510,3497,-14,2495,2477,-18
12688,SWITZERLAND,421,421,0,174,174,0,765,770,5,180,191,11,1129,1129,0,946,949,2,798,798,0,1285,1285,0,1424,1424,0,2857,2857,0,2380,2380,0,2454,2454,0,2577,2577,0,2923,2923,0,7025,7025,0,4373,4373,0,4789,5532,744,1996,2741,745
12807,TURKEY,1813,1813,0,2269,2270,1,2898,2899,1,3934,3961,27,5107,5107,0,3961,3961,0,7116,7116,0,9158,9158,0,10423,10423,0,16702,16702,0,13383,13383,0,16323,16323,0,13117,13117,0,10589,10589,0,13225,13225,0,11003,11003,0,10375,10375,0,9472,9450,-23
13005,UNITED KINGDOM,16559,16559,0,15029,15029,0,16740,16740,0,21436,21416,-19,40631,40629,-3,17653,17651,-2,14982,14827,-155,20266,20240,-25,31611,31589,-22,34516,34477,-39,29752,29729,-23,37227,37227,0,43293,43293,0,38979,38979,0,51400,51406,6,52687,51875,-811,52214,50764,-1450,60499,58601,-1898
13006,GUERNSEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,-6,0,0,0,0,0,0,12,0,-12
13007,JERSEY,75,75,0,81,81,0,82,82,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,0,0,0,0,40,0,-40,0,0,0,41,41,0,10,10,0,79,79,0,117,117,0,89,74,-15,83,59,-24,97,83,-14
13008,ISLE OF MAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,19,19,0,27,27,0
13102,HOLY SEE (VATICAN CITY),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13218,SERBIA,0,0,0,0,0,0,101,101,0,93,93,0,59,59,0,96,96,0,109,109,0,109,109,0,406,406,0,1263,1263,0,2362,2362,0,2926,2926,0,3247,3247,0,2606,2606,0,2852,2852,0,2311,2312,2,2073,2050,-23,2636,2593,-44
13471,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13625,MONTENEGRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,-9,13,13,0,0,0,0,3,3,0,12,12,0,44,44,0,38,21,-16
14109,BOSNIA AND HERZEGOVINA,49,49,0,145,145,0,114,114,0,72,72,0,90,90,0,20,20,0,110,110,0,29,29,0,102,102,0,81,81,0,89,89,0,86,86,0,130,130,0,21,21,0,9,9,0,4,4,0,28,28,0,31,31,0
14214,CROATIA,400,400,0,470,470,0,504,504,0,314,314,0,290,290,0,207,207,0,682,682,0,840,842,2,1147,1150,3,1650,1660,10,2304,2312,8,2300,2300,0,2416,2416,0,2347,2347,0,1975,1975,0,1555,1555,0,1555,1546,-9,1519,1491,-28
14338,SLOVENIA,73,73,0,36,36,0,31,31,0,28,28,0,34,34,0,31,31,0,40,40,0,67,67,0,22,22,0,1198,1198,0,3760,3760,0,5788,5788,0,4879,4879,0,1981,1981,0,1373,1373,0,1147,1147,0,1223,1087,-136,1217,1063,-154
14419,MACEDONIA,34,34,0,33,33,0,46,46,0,0,0,0,0,0,0,0,0,0,1,1,0,13,13,0,8,8,0,14,14,0,7,7,0,208,208,0,295,295,0,384,384,0,567,567,0,481,481,0,122,122,0,230,230,0
15105,ALBANIA,4,4,0,5,5,0,6,6,0,12,12,0,12,12,0,13,13,0,6,6,0,15,15,0,82,82,0,78,78,0,102,102,0,102,102,0,234,234,0,213,213,0,301,301,0,323,323,0,164,159,-5,228,217,-10
15202,BULGARIA,1437,1437,0,1167,1167,0,350,350,0,184,184,0,169,169,0,86,86,0,91,91,0,115,115,0,105,105,0,75,75,0,58,58,0,136,136,0,218,218,0,264,264,0,143,143,0,80,80,0,73,73,0,304,277,-27
15288,CZECH REPUBLIC,10,10,0,10,10,0,15,15,0,17,17,0,150,150,0,37,37,0,163,163,0,249,249,0,304,304,0,313,313,0,271,271,0,278,278,0,523,523,0,560,560,0,1595,1595,0,1461,1461,0,1481,1476,-5,1741,1741,0
15318,SLOVAKIA,38,38,0,178,177,-1,267,266,-1,256,229,-27,4,4,0,4,4,0,20,20,0,37,37,0,191,191,0,648,648,0,429,429,0,328,328,0,333,333,0,272,272,0,386,386,0,409,409,0,465,465,0,594,594,0
15407,ESTONIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,56,56,0,51,51,0,45,45,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15504,HUNGARY,564,564,0,575,575,0,491,491,0,422,422,0,1370,1370,0,1009,1009,0,1967,1967,0,2852,2852,0,6527,6527,0,9805,9805,0,12115,12115,0,12324,12324,0,8665,8665,0,7748,7748,0,6114,6114,0,6008,6008,0,5793,5793,0,5322,5322,0
15601,LATVIA,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,142,0,774,774,0,554,554,0,663,663,0,406,406,0,465,465,0,206,206,0,238,238,0,333,302,-30,203,121,-82
15709,LITHUANIA,22,22,0,1,1,0,33,33,0,32,32,0,35,35,0,3,3,0,759,759,0,1499,1499,0,1969,1969,0,2634,2634,0,2060,2060,0,2173,2173,0,1562,1562,0,1328,1328,0,1417,1417,0,1671,1671,0,1667,1667,0,991,991,0
15768,POLAND,1536,1536,0,2466,2466,0,2750,2750,0,4377,4379,2,4737,4737,0,2827,2827,0,8701,8701,0,12965,12965,0,17124,17124,0,23271,23271,0,20620,20620,0,17940,17940,0,13469,13469,0,10748,10748,0,12756,12756,0,10236,10236,0,7811,7811,0,5986,5986,0
15806,ROMANIA,124,124,0,52,52,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,5,5,0,25,25,0,1029,1029,0,2232,2232,0,3203,3203,0,2612,2612,0,2679,2679,0,3260,3260,0,3448,3448,0,4502,4437,-65,7826,7693,-133
16101,RUSSIA,7466,7466,0,9739,9739,0,9215,9215,0,7360,7360,0,5729,5729,0,4124,4174,49,5408,5536,128,6613,6735,122,8321,8321,0,10982,11225,243,12770,13077,308,9572,9581,9,7265,7265,0,9860,9860,0,13063,13064,1,8928,8928,0,16387,16387,0,16122,16098,-24
16209,BELARUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,109,0,239,239,0,408,408,0,312,312,0,0,0,0,205,205,0,328,328,0,565,565,0,360,360,0,431,431,0,586,586,0
16306,MOLDOVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16403,UKRAINE,585,585,0,1413,1413,0,1079,1079,0,1130,1133,2,1337,1340,3,748,748,0,673,828,155,1206,1231,25,2293,2213,-80,5084,5000,-85,5964,5858,-107,4382,4310,-72,6779,6779,0,8134,8134,0,8463,8463,0,7608,7608,0,10095,8587,-1508,8360,7446,-914
16519,ARMENIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,220,0,0,0,0,405,405,0,425,425,0,278,278,0,223,223,0,240,240,0,224,224,0
16527,AZERBAIJAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,163,0,0,0,0,189,189,0,360,360,0,405,405,0,757,757,0,901,901,0,793,793,0
16535,GEORGIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,87,0,106,106,0,93,93,0,373,373,0,282,282,0,98,98,0,105,105,0,141,141,0,131,131,0,93,93,0,137,137,0,175,175,0
16543,KAZAKHSTAN,5,5,0,11,11,0,9,9,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74,0,210,210,0,535,535,0,1496,1496,0,1339,1339,0,1702,1702,0,1338,1338,0,1562,1562,0,1446,1446,0
16551,KYRGYZSTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16578,TAJIKISTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,32,32,0,34,34,0
16616,TURKMENISTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16705,UZBEKISTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,188,0,471,471,0
29998,CANADA,54775,54788,14,49619,49619,0,49072,49072,0,53970,53970,0,47046,47063,17,45234,45234,0,54691,54691,0,65492,65492,0,83946,83962,17,97819,97837,18,83764,83796,32,70402,70421,20,51901,51901,0,58208,58149,-59,67076,67076,0,67212,68087,876,65272,71159,5887,70353,77340,6987
30104,ARGENTINA,1341,1341,0,1923,1923,0,4058,4058,0,7281,7281,0,6079,6062,-17,2579,2579,0,4904,4904,0,7041,7041,0,5683,5683,0,4575,4575,0,4915,4915,0,10650,10650,0,9792,9792,0,18034,18034,0,27296,27296,0,23583,23583,0,14132,14132,0,10937,10874,-62
30155,BARBADOS,152,152,0,139,139,0,190,190,0,194,194,0,211,211,0,176,176,0,184,184,0,176,176,0,139,139,0,155,155,0,116,116,0,167,167,0,172,172,0,147,147,0,173,173,0,117,117,0,209,209,0,247,247,0
30201,BOLIVIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,0,188,188,0,151,151,0,58,58,0,29,29,0,137,137,0,118,118,0,136,136,0,102,102,0
30228,ANGUILLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30309,BRAZIL,15234,15341,107,16611,16688,76,17822,17822,0,14820,14939,119,12580,12719,140,15671,15793,122,28294,28230,-64,31910,31935,25,29620,29620,0,48786,48786,0,35750,35875,126,38237,38256,18,40142,40142,0,34531,34548,17,25895,25895,0,21009,21309,300,19604,19807,203,14796,14427,-369
30406,CHILE,1891,1891,0,1821,1821,0,1501,1501,0,1103,1103,0,827,827,0,576,576,0,570,570,0,1613,1613,0,1946,1946,0,2023,2023,0,1395,1395,0,1898,1898,0,1777,1777,0,2068,2068,0,4315,4315,0,4979,4979,0,6326,6111,-215,6932,6735,-197
30503,COLOMBIA,2903,2903,0,3338,3338,0,3464,3464,0,4724,4724,0,5059,5059,0,4585,4585,0,5360,5360,0,5933,5933,0,8277,8277,0,9406,9406,0,9038,9038,0,10993,10993,0,10117,10117,0,12618,12618,0,14806,14806,0,14623,14623,0,15646,15636,-10,17682,17616,-65
30589,COSTA RICA,279,279,0,211,211,0,388,388,0,296,296,0,289,289,0,202,202,0,151,151,0,103,101,-2,73,70,-3,528,518,-10,759,751,-8,915,915,0,1108,1108,0,1077,1077,0,1373,1373,0,883,883,0,1585,1585,0,1118,1109,-9
30708,CUBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
30805,DOMINICAN REPUBLIC,496,496,0,428,428,0,622,622,0,513,513,0,562,562,0,303,303,0,515,515,0,715,715,0,776,776,0,904,904,0,1245,1245,0,1886,1909,23,3311,3311,0,3635,3635,0,3857,3857,0,4708,4708,0,4419,4419,0,6740,6740,0
31003,ECUADOR,853,853,0,1023,1023,0,900,900,0,506,506,0,663,663,0,343,343,0,271,271,0,260,260,0,252,252,0,201,201,0,243,243,0,655,655,0,931,931,0,1844,1844,0,3197,3197,0,3527,3527,0,4000,4000,0,2305,1698,-607
31089,EL SALVADOR,506,506,0,626,626,0,791,791,0,897,897,0,788,788,0,474,474,0,712,712,0,746,746,0,715,715,0,1100,1100,0,874,874,0,1197,1197,0,971,971,0,1428,1428,0,2167,2167,0,1572,1572,0,1869,1869,0,1414,1414,0
31208,GUATEMALA,108,108,0,173,173,0,206,206,0,199,199,0,215,215,0,92,92,0,40,40,0,48,48,0,26,26,0,247,247,0,369,369,0,275,275,0,237,237,0,382,382,0,547,640,94,547,632,86,901,992,92,1279,1370,91
31305,GUYANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31402,HAITI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31488,HONDURAS,19,19,0,11,11,0,13,13,0,3,3,0,3,3,0,2,2,0,6,6,0,5,5,0,0,0,0,0,0,0,290,290,0,376,376,0,422,422,0,388,388,0,649,649,0,597,597,0,518,518,0,470,470,0
31607,JAMAICA,39,39,0,181,181,0,370,370,0,408,408,0,463,463,0,190,190,0,317,317,0,213,213,0,154,154,0,119,119,0,136,136,0,383,383,0,831,831,0,851,851,0,1032,1032,0,684,684,0,1033,1033,0,1016,1016,0
31704,MEXICO,17947,17947,0,18791,18791,0,16751,16751,0,12465,12149,-315,11949,11949,0,10294,10294,0,12223,12223,0,15660,15660,0,22762,22762,0,39205,39205,0,33702,33702,0,43355,43355,0,41879,41879,0,37305,37305,0,35121,35121,0,29215,29215,0,23511,23305,-206,28959,28689,-270
31801,NICARAGUA,0,0,0,27,27,0,30,30,0,28,28,0,29,29,0,1,1,0,27,27,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
31887,PANAMA,2808,2808,0,2839,2839,0,2898,2898,0,2348,2348,0,2211,2211,0,1626,1626,0,1826,1826,0,2591,2591,0,3089,3089,0,3232,3232,0,2995,2995,0,3675,3675,0,3867,3867,0,3923,3923,0,4792,4792,0,4683,4683,0,6755,6755,0,10022,10006,-16
32107,PARAGUAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,160,0,621,621,0,655,655,0,716,716,0,866,866,0,1183,1183,0,1415,1415,0,2125,2251,126
32204,PERU,2878,2878,0,3196,3196,0,3688,3688,0,2695,2695,0,2353,2353,0,1864,1864,0,2553,2553,0,3649,3649,0,5089,5089,0,5454,5454,0,3957,3957,0,4105,4105,0,3959,3959,0,4415,4415,0,5211,5211,0,5007,5007,0,6924,5512,-1411,9499,9480,-19
32409,TRINIDAD AND TOBAGO,569,569,0,437,437,0,462,462,0,329,329,0,405,405,0,297,297,0,145,145,0,78,78,0,75,75,0,75,75,0,136,136,0,115,115,0,71,71,0,170,170,0,124,124,0,279,279,0,280,280,0,255,207,-48
32603,URUGUAY,520,520,0,717,717,0,925,925,0,1659,1659,0,1711,1711,0,1202,1202,0,1683,1683,0,1767,1767,0,2168,2168,0,2894,2894,0,2800,2800,0,3298,3298,0,3583,3583,0,3243,3243,0,5150,5150,0,4614,4614,0,5807,5807,0,6606,6606,0
32719,VENEZUELA,4101,4103,2,5084,5084,0,4556,4556,0,4421,4421,0,3946,3946,0,2868,2868,0,7712,7712,0,5084,5084,0,5153,5153,0,8464,8504,40,5794,5794,0,3280,3280,0,2822,2822,0,2553,2553,0,1036,1036,0,1448,1448,0,701,701,0,478,478,0
35203,ANTIGUA AND BARBUDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35254,ARUBA,45,50,5,97,97,0,50,50,0,127,127,0,208,208,0,194,194,0,175,175,0,210,210,0,175,175,0,212,212,0,172,172,0,167,167,0,142,142,0,167,167,0,156,156,0,116,116,0,160,160,0,63,63,0
35319,"BAHAMAS, THE",315,315,0,271,271,0,253,253,0,198,198,0,176,176,0,132,132,0,352,352,0,377,377,0,398,398,0,428,428,0,401,401,0,449,449,0,490,490,0,422,422,0,660,660,0,638,638,0,609,609,0,743,743,0
35602,BERMUDA,30,30,0,0,0,0,4,4,0,29,29,0,76,76,0,95,95,0,167,167,0,420,420,0,455,455,0,725,725,0,1180,1180,0,1048,1048,0,1175,1175,0,1057,1057,0,1100,1100,0,1182,1232,49,1323,1350,27,2037,1995,-42
35718,BELIZE,32,32,0,14,14,0,9,9,0,25,25,0,27,27,0,49,49,0,59,59,0,133,133,0,74,74,0,44,44,0,63,63,0,68,68,0,90,90,0,43,43,0,42,42,0,53,53,0,83,83,0,52,52,0
35807,BRITISH VIRGIN ISLANDS,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,108,108,0,156,138,-17,248,213,-35,199,177,-21,48,41,-6
