cntry_code,cntry_name,market_value_residence_2003,market_value_nationality_2003,mv_difference_nat_vs_res_2003,market_value_residence_2004,market_value_nationality_2004,mv_difference_nat_vs_res_2004,market_value_residence_2005,market_value_nationality_2005,mv_difference_nat_vs_res_2005,market_value_residence_2006,market_value_nationality_2006,mv_difference_nat_vs_res_2006,market_value_residence_2007,market_value_nationality_2007,mv_difference_nat_vs_res_2007,market_value_residence_2008,market_value_nationality_2008,mv_difference_nat_vs_res_2008,market_value_residence_2009,market_value_nationality_2009,mv_difference_nat_vs_res_2009,market_value_residence_2010,market_value_nationality_2010,mv_difference_nat_vs_res_2010,market_value_residence_2011,market_value_nationality_2011,mv_difference_nat_vs_res_2011,market_value_residence_2012,market_value_nationality_2012,mv_difference_nat_vs_res_2012,market_value_residence_2013,market_value_nationality_2013,mv_difference_nat_vs_res_2013,market_value_residence_2014,market_value_nationality_2014,mv_difference_nat_vs_res_2014,market_value_residence_2015,market_value_nationality_2015,mv_difference_nat_vs_res_2015,market_value_residence_2016,market_value_nationality_2016,mv_difference_nat_vs_res_2016,market_value_residence_2017,market_value_nationality_2017,mv_difference_nat_vs_res_2017,market_value_residence_2018,market_value_nationality_2018,mv_difference_nat_vs_res_2018,market_value_residence_2019,market_value_nationality_2019,mv_difference_nat_vs_res_2019,market_value_residence_2020,market_value_nationality_2020,mv_difference_nat_vs_res_2020
11002,GERMANY,71403,86245,14842,67918,86411,18493,48997,67109,18112,62012,86701,24689,89235,121773,32538,79711,105183,25472,80168,111419,31252,74308,103801,29492,82065,112480,30415,78865,113206,34341,73853,106149,32296,84885,120241,35356,76135,107901,31765,67834,94341,26507,83088,113554,30467,74823,102891,28068,70437,96015,25579,92689,115520,22831
11088,GIBRALTAR,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,2,0,-2,9,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,0,75,75,0
11207,GREECE,1978,2064,87,1310,1323,13,1025,1074,48,1559,1932,373,1766,2228,462,932,1115,183,1768,2543,775,927,1788,860,885,1606,721,1007,1844,837,2200,3373,1174,2684,3687,1003,2850,3487,637,2126,2736,610,1768,2414,646,3171,3721,550,3943,4282,339,4373,4631,258
11304,ICELAND,130,130,0,241,241,0,3215,3215,0,6022,6112,90,7221,7221,0,2042,2042,0,1422,1435,13,1520,1520,0,1259,1259,0,1917,1932,15,1791,1807,16,1806,1806,0,1931,1931,0,2231,2231,0,1826,1826,0,1671,1671,0,1682,1815,133,2041,2053,11
11401,IRELAND,8452,7226,-1226,13821,9745,-4076,16893,13209,-3684,38326,20400,-17926,50176,27283,-22892,22600,11847,-10753,25825,13193,-12633,27402,14103,-13298,34853,17611,-17241,46492,27145,-19347,51220,28179,-23041,52905,30138,-22767,56479,21955,-34524,66637,24213,-42424,70302,30385,-39917,71902,35311,-36592,78236,43012,-35223,79599,44448,-35152
11509,ITALY,24956,27600,2643,17352,25086,7735,12038,21504,9466,11946,34984,23038,21894,47091,25196,13493,25605,12112,15597,37802,22205,14416,33514,19099,20856,35428,14572,55153,70274,15121,40421,53072,12650,44956,56799,11843,33629,44397,10769,26082,36176,10093,40794,50978,10185,37426,46207,8781,43679,53146,9467,51426,62819,11393
11606,LIECHTENSTEIN,0,0,0,0,0,0,0,0,0,2,2,0,10,10,0,9,9,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
11703,LUXEMBOURG,15043,2831,-12211,26547,4809,-21738,29329,4501,-24827,37108,7756,-29352,43834,6913,-36921,36590,6281,-30309,57005,4116,-52889,64579,5121,-59458,61208,4790,-56417,72005,9845,-62160,75792,14976,-60816,84426,17938,-66488,80663,11473,-69190,74719,12095,-62625,70530,12959,-57571,62707,12930,-49777,71923,18757,-53166,62781,18170,-44612
11819,MALTA,19,19,0,16,16,0,96,96,0,73,73,0,71,71,0,88,88,0,69,69,0,87,74,-13,99,83,-16,121,106,-15,145,144,-1,630,630,0,178,178,0,168,168,0,445,445,0,173,169,-4,249,225,-25,218,218,0
12009,MONACO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,87,68,0,76,76,0,94,94,0,91,91
12106,NETHERLANDS,57988,36607,-21380,55077,31257,-23820,51760,30733,-21027,67871,36498,-31373,76497,37379,-39119,74919,39197,-35723,106172,68416,-37756,103229,67576,-35653,109591,72445,-37146,129110,81633,-47477,138604,85044,-53560,142091,82398,-59692,140771,79934,-60838,167591,76547,-91044,185239,85212,-100026,180634,88815,-91819,188336,92202,-96134,196079,99402,-96678
12203,NORWAY,8195,8549,354,10270,10675,405,9455,9688,233,14632,14881,249,15239,15656,416,10558,10781,223,17048,17313,265,23600,23850,250,29445,29643,198,32558,33375,817,34532,35600,1067,32557,33117,561,27372,27518,146,24623,24778,155,25438,25754,316,21740,22184,444,24383,24477,94,29854,29767,-87
12319,PORTUGAL,1128,1418,289,807,1067,259,643,756,113,460,1296,836,2232,4800,2568,432,2110,1678,936,3592,2656,583,2767,2184,679,2892,2213,1873,3699,1825,3264,5146,1882,6854,8868,2014,4926,6635,1708,3040,4270,1230,5037,6989,1951,3883,5326,1442,3688,4630,942,3630,4570,941
12408,SAN MARINO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12505,SPAIN,6293,13698,7404,5072,13318,8246,5712,12393,6681,24172,30528,6356,37843,44482,6639,24840,31204,6364,25808,33440,7632,21209,26694,5485,22201,27583,5382,33011,39578,6566,38456,45633,7177,40059,47425,7366,25000,34256,9255,19489,32528,13038,30514,43668,13154,31533,47356,15824,44210,59190,14979,47363,62172,14808
12602,SWEDEN,12755,13251,496,14577,15090,512,16481,16514,33,23829,23153,-676,29117,29137,20,20199,20415,217,25528,25604,76,29798,29965,167,33918,33987,69,31048,31392,344,43407,43454,47,40143,40195,52,31749,32011,261,30301,29518,-784,42976,42832,-144,35913,38519,2606,29852,35330,5478,27761,31921,4160
12688,SWITZERLAND,1090,6345,5256,1551,8556,7005,2185,8784,6600,1208,10427,9220,3630,18001,14371,3870,18603,14734,6109,22995,16886,5884,25514,19630,5067,30042,24975,8022,37080,29058,8579,35410,26831,10222,38309,28088,10743,42399,31656,10997,46064,35067,26182,64447,38266,27046,67640,40595,42195,70679,28484,41356,66244,24888
12807,TURKEY,1932,2010,77,2577,2723,146,3056,3458,402,4045,5126,1081,5388,6402,1014,5939,6620,681,7183,8070,887,9435,10183,748,11151,11720,569,19199,19680,481,16520,17261,741,20077,20696,620,16196,16776,580,13663,14055,392,17242,18154,912,15023,15153,130,14293,14297,4,12772,12678,-94
13005,UNITED KINGDOM,143280,140828,-2452,171446,173482,2036,184958,188521,3563,245365,255545,10180,286661,299323,12661,185386,198219,12833,240252,246743,6490,252478,253766,1288,285163,291957,6794,295602,306454,10852,294123,304775,10653,312287,319944,7657,302083,315743,13660,286924,320186,33262,335926,357490,21564,375543,388999,13456,411510,430260,18750,435358,456525,21167
13006,GUERNSEY,713,306,-406,542,137,-405,597,50,-547,772,393,-379,2572,40,-2531,967,21,-946,1333,25,-1308,2985,17,-2969,3674,8,-3666,4254,442,-3812,4469,759,-3710,5056,905,-4150,10460,840,-9620,12851,836,-12015,12986,727,-12259,10665,918,-9747,11341,1222,-10119,11002,1575,-9427
13007,JERSEY,4329,471,-3859,6638,802,-5837,8316,1042,-7274,9899,1642,-8257,12240,947,-11293,7697,654,-7043,13208,1301,-11907,12432,1379,-11053,9058,1192,-7867,9526,1643,-7883,9286,1313,-7973,8584,1455,-7129,11325,1298,-10026,14661,2001,-12660,14968,2499,-12469,14985,2541,-12445,8662,2582,-6081,10238,3300,-6938
13008,ISLE OF MAN,0,0,0,15,15,0,26,10,-16,28,28,0,149,30,-119,165,19,-147,189,41,-148,759,41,-717,988,23,-966,1454,58,-1396,1672,306,-1366,1661,303,-1358,1136,303,-833,1110,346,-764,1202,344,-858,478,318,-160,1296,426,-871,1208,532,-676
13102,HOLY SEE (VATICAN CITY),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13218,SERBIA,15,15,0,1,1,0,101,101,0,100,100,0,71,71,0,99,99,0,112,112,0,112,112,0,407,407,0,1298,1298,0,2452,2452,0,2926,2926,0,3260,3260,0,2608,2608,0,2853,2853,0,2317,2318,2,2274,2243,-31,2654,2611,-44
13471,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13625,MONTENEGRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,-9,13,13,0,0,0,0,3,3,0,12,12,0,44,44,0,38,21,-16
14109,BOSNIA AND HERZEGOVINA,50,50,0,145,145,0,114,114,0,72,72,0,90,90,0,20,20,0,110,110,0,29,29,0,102,102,0,81,81,0,89,89,0,86,86,0,130,130,0,22,22,0,10,10,0,7,7,0,29,29,0,32,32,0
14214,CROATIA,406,406,0,482,482,0,514,514,0,326,326,0,304,304,0,208,208,0,693,693,0,850,852,2,1161,1164,3,2081,2091,10,2634,2642,8,2433,2433,0,2680,2680,0,2501,2501,0,2041,2041,0,1630,1630,0,1619,1602,-17,1563,1535,-28
14338,SLOVENIA,74,74,0,36,36,0,31,31,0,28,28,0,34,34,0,31,31,0,40,40,0,71,71,0,26,26,0,1198,1198,0,3778,3778,0,5836,5789,-47,4971,4935,-36,2023,2023,0,1410,1374,-37,1352,1149,-204,1365,1124,-240,1356,1107,-249
14419,MACEDONIA,42,42,0,40,40,0,53,53,0,0,0,0,0,0,0,0,0,0,1,1,0,13,13,0,8,8,0,14,14,0,7,7,0,208,208,0,295,295,0,385,385,0,568,568,0,536,536,0,122,122,0,230,230,0
15105,ALBANIA,4,4,0,5,5,0,6,6,0,12,12,0,13,13,0,13,13,0,6,6,0,15,15,0,82,82,0,91,91,0,102,102,0,102,102,0,234,234,0,218,218,0,303,303,0,337,324,-13,173,159,-13,232,221,-10
15202,BULGARIA,1438,1438,0,1167,1167,0,350,350,0,217,240,23,175,208,34,87,93,6,95,97,2,119,119,0,105,107,1,75,76,1,79,79,0,163,163,0,253,253,0,280,280,0,167,167,0,146,146,0,85,85,0,310,283,-27
15288,CZECH REPUBLIC,44,72,27,33,71,38,15,50,35,26,52,26,196,196,0,71,71,0,177,177,0,320,320,0,517,395,-123,914,793,-121,833,704,-129,855,855,0,765,765,0,728,728,0,1956,1956,0,1824,1798,-26,1798,1771,-26,1998,1999,1
15318,SLOVAKIA,74,104,30,190,189,-1,308,307,-1,299,272,-27,70,70,0,31,31,0,31,21,-10,50,37,-13,203,191,-12,651,651,0,471,471,0,332,332,0,334,334,0,272,272,0,386,386,0,464,464,0,519,519,0,654,654,0
15407,ESTONIA,36,36,0,39,39,0,35,35,0,35,35,0,38,38,0,35,35,0,42,42,0,56,56,0,51,51,0,45,45,0,47,47,0,39,39,0,34,34,0,33,33,0,37,37,0,34,34,0,5,5,0,3,1,-2
15504,HUNGARY,651,682,31,601,609,8,754,754,0,764,764,0,1785,1810,25,1780,1793,12,2271,2271,0,3119,3119,0,6733,6733,0,10207,10210,2,12467,12477,10,13115,13121,6,9336,9342,6,8055,8055,0,6750,6750,0,6470,6470,0,6261,6261,0,5688,5688,0
15601,LATVIA,0,0,0,4,4,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,142,142,0,774,774,0,763,763,0,664,664,0,454,454,0,465,465,0,206,206,0,238,238,0,334,304,-30,203,121,-82
15709,LITHUANIA,25,25,0,1,1,0,33,33,0,32,32,0,45,45,0,32,32,0,771,771,0,1499,1499,0,1971,1971,0,2634,2634,0,2060,2060,0,2175,2175,0,1565,1565,0,1328,1328,0,1417,1417,0,1675,1675,0,1670,1670,0,1011,1011,0
15768,POLAND,1809,2234,425,2552,3078,527,2974,3343,369,4432,4709,277,4784,4989,205,3451,3451,0,8718,8718,0,12979,12995,15,17138,17170,33,23456,23515,59,20720,20771,52,18029,18088,59,13476,13476,0,10895,10882,-13,12992,12977,-15,10804,10721,-83,7875,7868,-7,6217,6149,-68
15806,ROMANIA,127,315,188,52,215,163,2,140,138,9,130,122,1,1,0,0,0,0,0,0,0,5,5,0,43,43,0,1054,1054,0,2261,2261,0,3507,3507,0,2717,2717,0,2681,2681,0,3351,3351,0,3842,3682,-160,4574,4488,-86,8056,7922,-133
16101,RUSSIA,8296,8743,448,10540,13186,2646,10133,14545,4412,8130,17007,8877,6523,20598,14075,4832,14275,9444,5459,17717,12257,6732,23255,16523,8476,27097,18622,11814,38321,26507,13601,37758,24157,9775,24845,15070,7574,17952,10378,10170,18893,8723,13474,21726,8252,9308,15017,5709,16559,22552,5993,16611,22370,5759
16209,BELARUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,109,0,239,239,0,408,408,0,312,312,0,396,396,0,206,206,0,329,329,0,640,640,0,392,392,0,523,523,0,799,799,0
16306,MOLDOVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,4,15,11,0,24,24,0,12,12,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16403,UKRAINE,586,586,0,1524,1524,0,1226,1226,0,1272,1300,29,1495,1534,39,816,833,18,850,1049,199,1640,1941,302,2890,3187,297,5311,5587,276,6221,6533,312,4502,4684,182,6791,7174,383,8158,8602,444,8684,9612,928,7608,8686,1078,10182,9888,-294,8448,8593,144
16519,ARMENIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,221,0,216,216,0,444,450,7,425,426,1,284,312,29,223,246,22,258,258,0,227,281,54
16527,AZERBAIJAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,12,87,108,21,231,287,56,654,717,63,805,841,35,1178,1178,0,1629,1629,0,1478,1478,0,1604,1604,0,1508,1508,0
16535,GEORGIA,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,70,70,0,87,87,0,130,130,0,94,94,0,442,442,0,401,401,0,484,484,0,472,472,0,514,514,0,513,513,0,447,449,2,608,608,0,495,495,0
16543,KAZAKHSTAN,102,176,74,346,1113,767,330,1447,1116,328,1691,1363,505,2933,2427,513,2219,1705,406,2237,1831,2269,2801,532,2923,3630,707,3184,4243,1060,3304,3931,626,2523,4509,1986,3816,4434,619,4103,4373,270,5216,5439,223,3936,4420,485,4615,4935,321,4483,4744,260
16551,KYRGYZSTAN,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16578,TAJIKISTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,0,24,24,0,32,32,0,34,34,0
16616,TURKMENISTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16705,UZBEKISTAN,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,242,0,663,729,66
29998,CANADA,139433,138022,-1412,151852,149307,-2544,157509,154292,-3217,162074,157657,-4417,186023,179899,-6124,165881,158850,-7031,219531,209051,-10481,252770,243746,-9023,329166,319488,-9678,381799,369350,-12449,381558,366900,-14657,378754,366667,-12087,323319,314870,-8448,333267,333160,-107,381253,381119,-133,387620,391202,3582,394631,410659,16028,412247,433685,21438
30104,ARGENTINA,3458,3458,0,3664,3748,84,5696,5835,139,9135,9316,181,7898,8074,176,3508,3576,68,6113,6199,85,8177,8327,150,6663,6935,273,5500,5820,320,6122,6424,302,12506,12726,220,12450,12516,66,21053,21001,-51,32240,32360,120,27821,27779,-41,19032,19056,23,15472,15379,-92
30155,BARBADOS,251,202,-49,246,184,-62,272,238,-33,298,269,-29,367,337,-31,356,341,-15,1304,1274,-30,1464,1404,-60,1563,373,-1191,1669,655,-1014,1815,1159,-656,2468,1985,-483,2795,2443,-352,2833,2350,-483,2279,1681,-599,1694,1170,-524,1911,1321,-591,2638,1667,-971
30201,BOLIVIA,0,0,0,0,53,53,0,57,57,0,81,80,10,285,275,0,176,176,0,202,202,0,155,155,0,112,112,95,204,109,191,281,90,151,277,126,58,115,56,29,82,53,138,138,0,120,120,0,138,138,0,106,106,0
30228,ANGUILLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30309,BRAZIL,18365,22064,3699,19885,25370,5485,21697,26625,4928,18211,26439,8228,16181,25950,9769,18906,27339,8433,32420,46866,14446,40571,59010,18440,41388,67972,26583,65808,100062,34254,50833,87160,36327,56457,93700,37243,49793,75573,25781,42073,68552,26479,33906,66213,32307,28499,54126,25627,28624,54168,25544,23259,49835,26576
30406,CHILE,7595,7962,366,9034,9408,373,8577,8923,346,8092,8254,161,7609,7889,281,6029,6382,353,6662,6993,331,9679,9952,273,11791,10865,-926,13214,11689,-1526,12806,12482,-324,17426,14951,-2475,16183,14774,-1409,14655,14711,56,18551,18498,-53,20766,20803,37,24574,24600,26,26986,26387,-600
30503,COLOMBIA,3354,3487,133,4185,4303,117,4266,4358,92,5096,6332,1236,5571,5712,141,5919,6056,137,6264,6462,199,6929,7133,204,10737,10945,207,12567,13124,557,13671,13832,161,17321,17789,468,15574,15871,297,18806,19169,364,22173,22607,435,21270,21556,285,22489,23067,578,25722,26533,811
30589,COSTA RICA,313,337,24,236,255,19,400,400,0,315,315,0,373,373,0,255,255,0,170,170,0,121,120,-2,150,147,-3,760,750,-10,1413,1405,-8,1447,1605,158,1711,1900,189,1813,1813,0,2196,2283,87,1471,1521,50,2180,2262,82,1640,1558,-82
30708,CUBA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
30805,DOMINICAN REPUBLIC,508,508,0,472,472,0,662,695,33,791,857,66,852,942,90,379,419,40,622,700,78,815,883,68,866,961,95,1091,1171,81,1625,1699,74,2129,2262,133,3584,3626,43,3839,3866,28,4013,4042,29,4865,4894,28,5288,5315,28,6882,6906,24
31003,ECUADOR,897,923,26,1066,1105,39,942,972,30,550,804,254,708,958,249,384,616,232,316,593,277,305,593,288,287,614,327,235,648,412,277,677,400,657,1143,487,931,1448,517,1857,2190,333,3449,3708,259,3773,3850,76,4181,4181,0,2371,1788,-584
31089,EL SALVADOR,582,584,3,658,705,47,822,866,44,932,1058,126,825,941,116,482,524,41,731,781,50,901,939,38,786,815,28,1175,1208,33,941,970,29,1266,1200,-66,1004,1004,0,1433,1433,0,2171,2200,29,1577,1633,56,1878,1914,36,1431,1468,38
31208,GUATEMALA,109,109,0,173,173,0,206,209,3,206,209,2,225,228,3,93,98,5,48,48,0,55,55,0,27,41,14,248,516,268,370,862,492,275,873,598,248,688,440,384,608,224,556,784,228,552,787,235,918,1065,147,1294,1433,140
31305,GUYANA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31402,HAITI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31488,HONDURAS,22,22,0,15,15,0,17,17,0,8,8,0,6,6,0,24,24,0,7,7,0,7,7,0,1,1,0,0,0,0,294,294,0,376,376,0,422,422,0,389,389,0,696,696,0,626,626,0,541,536,-5,479,479,0
31607,JAMAICA,39,39,0,193,193,0,440,563,123,590,782,193,663,1635,972,336,1158,822,379,1957,1578,315,2368,2053,243,2193,1950,221,2597,2375,154,3134,2980,404,3525,3121,847,3487,2640,876,3472,2595,1058,3448,2390,720,2328,1608,1093,2549,1456,1278,3422,2144
31704,MEXICO,27615,30090,2475,28606,31612,3007,28198,30213,2015,23812,25847,2034,23911,26512,2601,18950,20669,1718,22555,24119,1564,32081,33386,1304,45485,46245,760,72084,72165,80,73534,74086,551,92303,91581,-721,87440,87310,-129,90111,89836,-275,93771,93648,-123,82964,82504,-460,82987,82068,-920,87551,86643,-908
31801,NICARAGUA,0,0,0,37,37,0,30,30,0,28,28,0,29,29,0,1,1,0,27,27,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
31887,PANAMA,3761,3105,-656,4830,3372,-1458,4940,3595,-1345,4728,3910,-818,4146,3106,-1040,3094,2264,-830,3104,2144,-960,3641,2943,-698,4358,3625,-733,5251,4245,-1006,5938,4281,-1658,6864,5020,-1845,7363,5471,-1892,7763,5809,-1955,8065,7228,-837,7502,7573,70,10742,10285,-457,19910,14608,-5301
32107,PARAGUAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,-26,218,109,-109,393,280,-113,992,872,-120,978,918,-60,923,923,0,1048,1048,0,1416,1416,0,1626,1730,104,2442,2621,179
32204,PERU,2912,2912,0,3208,3208,0,3718,3718,0,2838,2929,91,2656,2672,16,2134,2160,27,2760,2835,75,4117,4209,92,5738,6340,601,7412,7947,535,7505,7889,384,8744,8904,160,7809,8578,769,8382,8914,532,10438,11422,983,9930,10938,1008,12492,12401,-91,15374,16396,1022
32409,TRINIDAD AND TOBAGO,606,606,0,472,496,24,488,546,58,711,867,156,1477,1528,51,1121,1127,6,1401,1435,34,1172,1199,27,1142,1212,70,1156,1183,27,1054,1081,27,898,925,27,720,720,0,810,810,0,677,677,0,760,760,0,733,733,0,745,697,-48
32603,URUGUAY,600,600,0,1297,1297,0,1070,1066,-4,1694,1692,-2,1962,1962,0,1244,1244,0,1713,1713,0,1798,1798,0,2197,2197,0,3269,3282,13,3098,3190,91,3423,3423,0,3695,3695,0,3544,3544,0,5263,5396,133,4813,4855,42,5888,6020,132,6709,6854,146
32719,VENEZUELA,4898,6179,1280,6226,6471,245,5519,5770,251,5125,5453,328,5009,5172,162,3386,3432,46,9508,9573,65,7670,7748,78,8495,8412,-83,13556,13448,-107,9827,9706,-121,6744,6669,-75,6086,6000,-86,5887,5887,0,2939,2939,0,2744,2702,-42,1323,1323,0,759,759,0
